Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHrInBed,TotalHrAsleep,DayofWeek
1927972279,4/12/16 0:00,3,750,775,12.91666667,12.5,Tuesday
4445114986,4/12/16 0:00,2,429,457,7.616666667,7.15,Tuesday
1503960366,4/12/16 0:00,1,327,346,5.766666667,5.45,Tuesday
2026352035,4/12/16 0:00,1,503,546,9.1,8.383333333,Tuesday
3977333714,4/12/16 0:00,1,274,469,7.816666667,4.566666667,Tuesday
4020332650,4/12/16 0:00,1,501,541,9.016666667,8.35,Tuesday
4702921684,4/12/16 0:00,1,425,439,7.316666667,7.083333333,Tuesday
5553957443,4/12/16 0:00,1,441,464,7.733333333,7.35,Tuesday
5577150313,4/12/16 0:00,1,419,438,7.3,6.983333333,Tuesday
6962181067,4/12/16 0:00,1,366,387,6.45,6.1,Tuesday
7086361926,4/12/16 0:00,1,514,525,8.75,8.566666667,Tuesday
8378563200,4/12/16 0:00,1,338,356,5.933333333,5.633333333,Tuesday
8792009665,4/12/16 0:00,1,458,493,8.216666667,7.633333333,Tuesday
6962181067,4/13/16 0:00,3,630,679,11.31666667,10.5,Wednesday
1503960366,4/13/16 0:00,2,384,407,6.783333333,6.4,Wednesday
3977333714,4/13/16 0:00,2,295,456,7.6,4.916666667,Wednesday
4445114986,4/13/16 0:00,2,370,406,6.766666667,6.166666667,Wednesday
4702921684,4/13/16 0:00,2,400,430,7.166666667,6.666666667,Wednesday
5553957443,4/13/16 0:00,2,455,488,8.133333333,7.583333333,Wednesday
8378563200,4/13/16 0:00,2,447,487,8.116666667,7.45,Wednesday
1927972279,4/13/16 0:00,1,398,422,7.033333333,6.633333333,Wednesday
2026352035,4/13/16 0:00,1,531,565,9.416666667,8.85,Wednesday
2347167796,4/13/16 0:00,1,467,531,8.85,7.783333333,Wednesday
5577150313,4/13/16 0:00,1,432,458,7.633333333,7.2,Wednesday
6775888955,4/13/16 0:00,1,235,260,4.333333333,3.916666667,Wednesday
7086361926,4/13/16 0:00,1,451,465,7.75,7.516666667,Wednesday
8792009665,4/13/16 0:00,1,531,552,9.2,8.85,Wednesday
6962181067,4/14/16 0:00,2,508,535,8.916666667,8.466666667,Thursday
2026352035,4/14/16 0:00,1,545,568,9.466666667,9.083333333,Thursday
2347167796,4/14/16 0:00,1,445,489,8.15,7.416666667,Thursday
3977333714,4/14/16 0:00,1,291,397,6.616666667,4.85,Thursday
4319703577,4/14/16 0:00,1,535,557,9.283333333,8.916666667,Thursday
4445114986,4/14/16 0:00,1,441,492,8.2,7.35,Thursday
4702921684,4/14/16 0:00,1,384,415,6.916666667,6.4,Thursday
5553957443,4/14/16 0:00,1,357,418,6.966666667,5.95,Thursday
5577150313,4/14/16 0:00,1,477,497,8.283333333,7.95,Thursday
6775888955,4/14/16 0:00,1,423,441,7.35,7.05,Thursday
7086361926,4/14/16 0:00,1,472,476,7.933333333,7.866666667,Thursday
8378563200,4/14/16 0:00,1,424,455,7.583333333,7.066666667,Thursday
8792009665,4/14/16 0:00,1,486,503,8.383333333,8.1,Thursday
1927972279,4/15/16 0:00,2,475,499,8.316666667,7.916666667,Friday
4445114986,4/15/16 0:00,2,337,379,6.316666667,5.616666667,Friday
1503960366,4/15/16 0:00,1,412,442,7.366666667,6.866666667,Friday
1844505072,4/15/16 0:00,1,644,961,16.01666667,10.73333333,Friday
2026352035,4/15/16 0:00,1,523,573,9.55,8.716666667,Friday
2347167796,4/15/16 0:00,1,452,504,8.4,7.533333333,Friday
3977333714,4/15/16 0:00,1,424,556,9.266666667,7.066666667,Friday
4319703577,4/15/16 0:00,1,465,491,8.183333333,7.75,Friday
4388161847,4/15/16 0:00,1,499,526,8.766666667,8.316666667,Friday
4702921684,4/15/16 0:00,1,253,257,4.283333333,4.216666667,Friday
5553957443,4/15/16 0:00,1,377,409,6.816666667,6.283333333,Friday
5577150313,4/15/16 0:00,1,392,413,6.883333333,6.533333333,Friday
6775888955,4/15/16 0:00,1,391,406,6.766666667,6.516666667,Friday
6962181067,4/15/16 0:00,1,370,386,6.433333333,6.166666667,Friday
7086361926,4/15/16 0:00,1,377,386,6.433333333,6.283333333,Friday
8378563200,4/15/16 0:00,1,513,533,8.883333333,8.55,Friday
8792009665,4/15/16 0:00,1,363,377,6.283333333,6.05,Friday
1503960366,4/16/16 0:00,2,340,367,6.116666667,5.666666667,Saturday
4388161847,4/16/16 0:00,2,426,448,7.466666667,7.1,Saturday
4702921684,4/16/16 0:00,2,382,406,6.766666667,6.366666667,Saturday
5553957443,4/16/16 0:00,2,651,686,11.43333333,10.85,Saturday
8378563200,4/16/16 0:00,2,611,689,11.48333333,10.18333333,Saturday
